Tbilisi_CPI,Kutaisi_CPI,Batumi_CPI,Gori_CPI,Telavi_CPI,Zugdidi_CPI,Tbilisi_Rent,Kutaisi_Rent,Batumi_Rent,Gori_Rent,Telavi_Rent,Zugdidi_Rent
107.77757,108.4317699,107.9510487,105.2566551,111.8433132,100,132.6799746,99.94430704,101.6474358,107.6418,100.6231082,100
106.9220316,107.9256104,107.4665644,104.9364643,111.3006494,100,131.261891,99.94430704,101.6474358,107.6418,100.6231082,100
107.9086012,109.4386195,107.7709097,105.9153117,111.7957147,100.9347,136.9946229,99.94430704,101.6474358,107.6418,100.6231082,100
107.9649295,109.7494252,107.8340635,106.1889968,111.8958837,100.9940496,121.4147724,99.94430704,107.6515465,107.6418,100.6231082,100
107.6496719,109.2767344,107.5175705,105.9357361,111.3446845,101.2356274,122.1510316,99.94430704,105.1167832,107.6418,100.6231082,90.3602
107.2387731,108.1804702,106.832576,105.1193953,110.3727568,100.436777,122.7378451,99.94430704,98.51355713,107.6418,103.8823913,90.3602
106.7798984,108.0181995,106.388473,104.5558502,110.1805978,99.49548356,121.1417622,99.94430704,96.97497239,107.6418,103.8823913,90.3602
105.6192009,107.1863514,105.7912081,104.3409879,108.7571747,99.04655994,122.0218571,99.94430704,96.97497239,107.6418,103.8823913,90.3602
105.8150189,107.3906485,106.1133424,104.2947649,108.81884,99.14729029,122.0145358,99.94430704,94.69159969,107.6418,103.8823913,90.3602
106.4592208,107.3955885,106.3706672,104.9389936,109.0484478,99.37840262,121.52965,99.94430704,94.69159969,107.6418,103.8823913,90.3602
106.5285257,108.0735769,106.7303064,105.7824933,109.8539886,99.21631645,121.3878249,99.94430704,94.69159969,107.6418,103.8823913,90.3602
106.9146916,108.8147455,106.9681016,106.6850295,110.6618549,100.5200188,121.763763,99.94430704,94.69159969,107.6418,103.8823913,90.3602
107.5390734,109.4936407,107.5164201,106.6225121,111.7958069,101.374238,122.6372962,99.94430704,89.42627329,107.6418,103.8823913,90.3602
108.6990974,110.1065861,108.9114456,108.1304743,112.8513829,102.5556533,124.3407283,99.94430704,89.42627329,107.6418,103.8823913,90.3602
111.773434,113.3412973,111.8900647,111.789177,117.0150347,105.4171612,125.2298888,99.94430704,89.42627329,142.0435811,103.8823913,90.3602
113.7400875,114.9456434,113.5981785,114.2776041,119.0926366,107.2516306,125.0982722,99.94430704,89.42627329,142.0435811,103.8823913,90.3602
113.1479566,114.8501236,113.3784796,113.4404063,117.6894872,107.0186801,121.9146463,99.94430704,87.32064226,142.0435811,103.8823913,90.3602
113.2577102,115.3615512,113.1899312,113.4518638,117.1668282,107.4746867,121.5173264,99.94430704,90.7514703,142.0435811,103.8823913,90.3602
113.3027867,115.663337,113.1643502,113.2057867,117.4333827,106.7772834,121.619158,99.94430704,90.7514703,142.0435811,103.8823913,90.3602
112.8312205,115.2679997,112.7304781,112.4733453,116.8675887,106.6635656,121.4811202,99.94430704,90.7514703,142.0435811,103.8823913,90.3602
111.8226222,113.7997159,112.4686052,111.124115,115.7034706,105.8697754,123.210404,99.94430704,90.7514703,142.0435811,103.8823913,90.3602
111.7690592,114.9245123,112.6058169,111.5026038,115.9827788,106.1059708,123.146581,99.94430704,90.7514703,142.0435811,103.8823913,90.3602
112.563849,115.836898,113.1587115,112.2357334,117.8291086,105.827761,123.745566,99.94430704,90.7514703,146.1813106,103.8823913,90.3602
113.6977046,116.2131363,113.2404121,113.4924369,118.3812558,106.9420215,122.1589003,99.94430704,90.7514703,146.1813106,103.8823913,90.3602
114.9252988,117.5795703,114.0347936,115.1694012,119.5451804,108.3085266,123.780804,99.94430704,90.7514703,146.1813106,116.1440455,90.3602
115.5983013,118.1921599,115.3099306,116.5730858,121.1229376,110.1730579,122.5566119,99.94430704,90.7514703,151.3539363,112.9491551,93.18937786
116.2597548,119.5569248,115.7860453,117.2107406,121.3121317,110.9404133,122.3259603,99.94430704,90.7514703,151.3539363,112.9491551,93.18937786
116.5438936,119.522851,115.8166128,117.0431292,121.8416591,111.1416592,121.0849635,99.94430704,90.7514703,151.3539363,112.9491551,93.18937786
116.3374944,118.9260734,115.1972256,116.1559423,121.1188944,110.3322145,120.8395242,99.94430704,90.7514703,153.7774155,112.9491551,93.18937786
115.9421796,118.9459341,115.0013903,115.971719,121.5670343,109.9087594,120.7569908,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786
116.1019479,119.3636722,114.9362995,115.4812746,121.4806002,108.4678556,119.3886934,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786
115.3756141,117.6500873,114.8233171,115.5733132,119.9832303,108.4298918,120.9520883,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786
114.8471938,117.6915002,114.664861,115.031621,119.8416501,108.5135997,120.9408398,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786
115.2108,118.9063118,115.6338937,115.2583484,120.8100904,108.795518,122.2190635,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786
115.45401,118.9916866,115.5110905,116.0701129,122.0446488,109.4790803,122.8937127,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786
115.8756481,119.2338346,115.6986805,116.5249917,122.7229729,109.6772374,123.9176632,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786
116.6999874,120.2662804,116.4390364,117.3955499,123.2558361,110.433462,123.4269492,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786
116.9067798,121.2232392,116.5430164,118.5938063,123.8433966,112.1869245,123.4895267,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786
118.3428627,122.5026293,118.4707545,120.7095198,124.9524142,113.9659847,132.7367929,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786
118.4775369,123.0568312,118.8718964,121.4600916,125.8139611,114.2176216,135.0813229,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786
119.9231998,124.3399448,119.6229291,122.3424991,127.1696066,114.4205863,135.3001546,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786
120.1686826,124.9247155,119.8528444,121.6304658,127.7133838,114.5995401,134.9920762,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786
120.7285485,125.29062,121.5698562,122.4012381,128.2930749,114.6036657,135.6921451,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786
119.6089119,124.4606949,120.0933903,120.9870142,126.0936184,113.7357722,136.3624643,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786
119.7993293,123.9891134,119.487279,120.4926612,126.8376968,113.4956759,138.4391282,99.94430704,90.7514703,154.9209044,112.9491551,93.18937786
120.6810524,125.086789,119.9200619,121.6825262,128.9601988,114.0687156,138.5451726,99.94430704,90.7514703,154.9209044,103.8367561,93.18937786
122.8624831,126.4947659,121.4886163,123.6172784,132.0213271,116.2225611,146.2042268,99.94430704,90.7514703,154.9209044,103.8367561,93.18937786
124.1198577,126.8712143,122.169074,124.2217669,133.3744137,116.5149771,146.6886014,99.94430704,90.7514703,154.9209044,111.579863,93.18937786
124.8861737,127.6840782,123.7285623,126.3983807,134.9295593,118.0525087,146.7157388,99.94430704,90.7514703,154.9209044,111.579863,93.18937786
125.132699,128.3495676,124.8951989,126.7548241,134.9108041,119.7679297,146.1943111,99.94430704,90.7514703,154.9209044,111.579863,93.18937786
125.2649643,130.0704786,126.1166739,127.907279,135.6671141,123.567208,146.0051357,99.94430704,90.7514703,154.9209044,111.579863,93.18937786
125.8726246,130.1520328,125.8958436,128.3883383,135.928816,124.3019386,150.1274447,99.94430704,90.7514703,154.9209044,111.579863,93.18937786
126.799173,131.3146809,126.4956114,129.2059152,136.5491951,124.4586833,150.1274447,99.94430704,90.7514703,154.9209044,111.579863,93.18937786
